ID,gender,age,education,cov_cons,pseudo_info,trust_gov,compliance,,,,Values,
396,M,36,2,1.222222222,1.75,3.4,3.25,,,,,
397,F,36,6,1.222222222,1.75,3.4,4,,,,,
398,F,27,5,1.888888889,3.5,3.2,3.75,,,,,
399,F,23,2,1.666666667,2.25,3.6,2.875,,,,,
400,F,24,4,3,3,3,2.375,,,,,
401,M,24,3,2.222222222,2,3.8,2.5,,,,,
402,M,32,6,1.555555556,1,3,3.375,,,,,
403,F,25,4,1.333333333,1,5,3.875,,,,,
404,F,36,4,2.666666667,3,3.6,3.5,,,,,
405,M,48,5,1,1,3.6,3.5,,,,,
406,F,22,2,1.222222222,1.5,2.6,4,,,,,
407,F,22,2,3.777777778,2.5,1.4,3,,,,,
408,F,24,3,2.333333333,1.5,3.2,3.375,,,,,
409,F,41,4,2.888888889,2.25,4.2,3.5,,,,,
410,F,24,5,1,2.5,4,4,,,,,
411,F,30,3,3.888888889,3,2.8,2,,,,,
412,M,45,3,1.111111111,2.5,3.4,3.5,,,,,
413,F,33,2,1,1,4.6,2.625,,,,,
414,M,41,2,1,1,3.6,3.5,,,,,
415,F,34,2,3.888888889,1,1,3,,,,,
416,M,42,4,1.444444444,1.75,3.8,3,,,,,
417,M,65,4,1,1.75,5,3.75,,,,,
418,F,33,4,1.333333333,1,1,3.375,,,,,
419,M,37,2,1,1,4.6,3.5,,,,,
420,M,29,4,1.111111111,1.25,3.4,3.5,,,,,
421,F,50,2,1.444444444,2.75,3.6,4,,,,,
422,M,36,4,1.666666667,2.25,3.4,4,,,,,
423,F,53,4,1.888888889,1.25,4,3.875,,,,,
424,F,59,4,1.777777778,2,3.4,4,,,,,
425,F,55,3,1.666666667,1,1,3.625,,,,,
426,F,51,4,1.444444444,3.5,3.4,3.125,,,,,
427,F,38,4,2,1.5,4,3.75,,,,,
428,M,46,3,2.111111111,3.25,2.4,1.625,,,,,
429,F,29,2,2.333333333,3,4.2,3.875,,,,,
430,F,36,3,3.111111111,3.75,3.4,2.375,,,,,
431,F,24,2,3.666666667,3.25,3.4,3.375,,,,,
432,F,34,3,3,3,2.6,3.75,,,,,
433,M,37,2,1.444444444,3.75,3.2,3.625,,,,,
434,M,34,4,1.111111111,1,3.4,3.75,,,,,
435,F,58,6,1.111111111,2.25,4,3.625,,,,,
436,F,47,5,1.333333333,1,2.2,2.875,,,,,
437,M,36,5,1.222222222,1.25,2.6,3,,,,,
438,F,32,4,4.111111111,4,2.6,3.625,,,,,
439,F,29,5,2.222222222,3.5,4.2,3.5,,,,,
440,F,49,4,1.222222222,1,1,4,,,,,
441,F,53,2,3.555555556,2.5,2.6,2.375,,,,,
442,F,55,6,1.888888889,2.5,2.8,3.125,,,,,
443,F,32,2,1.111111111,1,3.8,3.625,,,,,
444,F,41,2,1.333333333,1.25,3.4,3.625,,,,,
445,F,54,4,1.333333333,1,1.8,2.625,,,,,
446,F,40,1,2,1.5,4,3.625,,,,,
447,F,61,2,1.888888889,3.75,3.2,3.25,,,,,
448,F,35,2,2.333333333,2.75,3.6,3.75,,,,,
449,M,44,2,3.888888889,3.5,1,1.75,,,,,
450,F,18,2,3.777777778,3.5,2.2,2.375,,,,,
451,NA,52,5,3.777777778,1.75,1.2,3.125,,,,,
452,M,24,3,1.444444444,1,3.2,3.125,,,,,
453,M,22,3,1.333333333,3,2.4,2.625,,,,,
454,F,50,2,1.444444444,2,4,4,,,,,
455,F,49,3,2.555555556,3,3,2.375,,,,,
456,F,31,3,2.666666667,2.5,3.6,3.5,,,,,
